model	mode	startdt	enddt	duration	offdays	notes
alice_kosmos	online	2022-09-08T16:48Z	2022-09-09T03:07Z	619	1	offline 21:15 to 21:50
alice_kosmos	online	2022-09-09T21:39Z	2022-09-10T04:10Z	391		
alice_kosmos	online	2022-09-15T20:27Z	2022-09-16T02:52Z	385	5	
alice_kosmos	online	2022-09-16T22:33Z	2022-09-17T04:40Z	367		
alice_kosmos	online	2022-09-18T21:54Z	2022-09-19T05:25Z	451	1	
alice_kosmos	online	2022-09-19T22:57Z	2022-09-20T02:55Z	238		
alice_kosmos	online	2022-09-21T00:33Z	2022-09-21T05:22Z	289		
alice_kosmos	online	2022-09-22T22:39Z	2022-09-23T07:31Z	532		
alice_kosmos	online	2022-09-24T17:12Z	2022-09-25T08:01Z	889	1	
alice_kosmos	online	2022-09-25T19:12Z	2022-09-25T21:52Z	160		
alice_kosmos	online	2022-09-26T19:33Z	2022-09-27T07:49Z	736		
alice_kosmos	online	2022-09-27T20:06Z	2022-09-28T05:01Z	535		
alice_kosmos	online	2022-09-30T21:54Z	2022-10-01T09:28Z	694	2	
alice_kosmos	online	2022-10-01T22:45Z	2022-10-02T09:04Z	619		offline 02:55 to 04:38
alice_kosmos	online	2022-10-06T21:45Z	2022-10-07T08:01Z	616	4	
alice_kosmos	online	2022-10-07T18:36Z	2022-10-08T06:40Z	724		
alice_kosmos	online	2022-10-09T00:54Z	2022-10-09T04:19Z	205		
alice_kosmos	online	2022-10-09T20:42Z	2022-10-10T02:40Z	358		offline 23:37 to 00:20
alice_kosmos	online	2022-10-10T23:45Z	2022-10-11T09:40Z	595		offline 05:37 to 06:47
alice_kosmos	online	2022-10-13T01:15Z	2022-10-13T08:52Z	457	1	
alice_kosmos	online	2022-10-14T01:21Z	2022-10-14T06:58Z	337		
alice_kosmos	online	2022-10-16T01:42Z	2022-10-16T08:43Z	421	1	
alice_kosmos	online	2022-10-18T01:57Z	2022-10-18T03:40Z	103	1	
alice_kosmos	online	2022-10-28T19:39Z	2022-10-29T01:52Z	373	10	
alice_kosmos	online	2022-11-04T21:09Z	2022-11-05T05:52Z	523	6	
alice_kosmos	online	2022-11-05T21:09Z	2022-11-06T04:25Z	436		
alice_kosmos	online	2022-11-07T21:09Z	2022-11-08T04:49Z	460	1	
alice_kosmos	online	2022-11-08T22:12Z	2022-11-09T02:07Z	235		
alice_kosmos	online	2022-11-09T21:39Z	2022-11-10T05:10Z	451		
alice_kosmos	online	2022-11-10T21:57Z	2022-11-11T04:25Z	388		
alice_kosmos	online	2022-11-13T20:06Z	2022-11-14T04:55Z	529	2	
alice_kosmos	online	2022-11-16T22:06Z	2022-11-17T06:16Z	490	2	offline 23:01 to 23:26
alice_kosmos	online	2022-11-17T20:48Z	2022-11-18T06:31Z	583		
alice_kosmos	online	2022-11-18T22:09Z	2022-11-19T07:43Z	574		
alice_kosmos	online	2022-11-19T21:24Z	2022-11-20T07:19Z	595		offline 03:55 to 04:59
alice_kosmos	online	2022-11-21T22:15Z	2022-11-22T05:58Z	463	1	
alice_kosmos	online	2022-11-22T22:45Z	2022-11-23T07:43Z	538		
alice_kosmos	online	2022-11-23T23:06Z	2022-11-24T07:22Z	496		
alice_kosmos	online	2022-11-24T23:45Z	2022-11-25T10:43Z	658		
alice_kosmos	online	2022-11-25T23:21Z	2022-11-26T01:34Z	133		
alice_kosmos	online	2022-11-27T02:09Z	2022-11-27T06:22Z	253		
alice_kosmos	online	2022-11-28T22:24Z	2022-11-29T06:28Z	484	1	
alice_kosmos	online	2022-11-30T02:39Z	2022-11-30T06:40Z	241		
alice_kosmos	online	2022-12-01T22:12Z	2022-12-02T06:52Z	520	1	
alice_kosmos	online	2022-12-02T22:27Z	2022-12-03T05:49Z	442		
alice_kosmos	online	2022-12-04T00:24Z	2022-12-04T08:25Z	481		
alice_kosmos	online	2022-12-06T20:15Z	2022-12-07T06:19Z	604	2	
alice_kosmos	online	2022-12-07T20:15Z	2022-12-08T05:34Z	559		
alice_kosmos	online	2022-12-08T20:51Z	2022-12-08T21:01Z	10		
alice_kosmos	online	2022-12-09T20:15Z	2022-12-10T06:16Z	601		
alice_kosmos	online	2022-12-10T20:27Z	2022-12-11T04:43Z	496		
alice_kosmos	online	2022-12-13T20:27Z	2022-12-14T04:28Z	481	2	
alice_kosmos	online	2022-12-14T20:21Z	2022-12-15T06:14Z	593		
alice_kosmos	online	2022-12-22T21:18Z	2022-12-23T05:19Z	481	7	
alice_kosmos	online	2022-12-25T00:15Z	2022-12-25T07:31Z	436	1	
alice_kosmos	online	2023-01-05T21:39Z	2023-01-06T01:49Z	250	10	
